predicted_at,forecast_for,city,city_name,horizon,predicted_class,predicted_label,predicted_tier,actual_class,actual_label,correct
2026-03-14 01:19:22.545368,2026-03-15 05:00:00,MY1,London,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:19:22.559332,2026-03-15 11:00:00,MY1,London,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:19:24.242666,2026-03-15 05:00:00,BIRR,Birmingham,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:19:24.456970,2026-03-15 11:00:00,BIRR,Birmingham,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:19:26.001551,2026-03-15 05:00:00,MAN3,Manchester,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:19:26.011562,2026-03-15 11:00:00,MAN3,Manchester,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:19:27.632434,2026-03-15 05:00:00,NEWC,Newcastle,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:19:27.643226,2026-03-15 11:00:00,NEWC,Newcastle,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:19:29.265771,2026-03-15 05:00:00,CARD,Cardiff,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:19:29.277215,2026-03-15 11:00:00,CARD,Cardiff,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:24:03.127166,2026-03-15 05:00:00,MY1,London,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:24:03.552682,2026-03-15 11:00:00,MY1,London,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:24:05.216354,2026-03-15 05:00:00,BIRR,Birmingham,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:24:05.226910,2026-03-15 11:00:00,BIRR,Birmingham,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:24:06.659666,2026-03-15 05:00:00,MAN3,Manchester,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:24:06.670423,2026-03-15 11:00:00,MAN3,Manchester,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:24:08.214883,2026-03-15 05:00:00,NEWC,Newcastle,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:24:08.227315,2026-03-15 11:00:00,NEWC,Newcastle,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:24:09.910951,2026-03-15 05:00:00,CARD,Cardiff,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:24:09.922025,2026-03-15 11:00:00,CARD,Cardiff,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:41:12.653198,2026-03-15 05:00:00,MY1,London,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:41:12.667391,2026-03-15 11:00:00,MY1,London,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:41:14.171750,2026-03-15 05:00:00,BIRR,Birmingham,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:41:14.182423,2026-03-15 11:00:00,BIRR,Birmingham,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:41:15.719184,2026-03-15 05:00:00,MAN3,Manchester,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:41:15.730460,2026-03-15 11:00:00,MAN3,Manchester,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:41:17.284408,2026-03-15 05:00:00,NEWC,Newcastle,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:41:17.296739,2026-03-15 11:00:00,NEWC,Newcastle,12h,0,Low,low,0.0,Low,1.0
2026-03-14 01:41:18.719713,2026-03-15 05:00:00,CARD,Cardiff,6h,0,Low,low,0.0,Low,1.0
2026-03-14 01:41:18.730512,2026-03-15 11:00:00,CARD,Cardiff,12h,0,Low,low,0.0,Low,1.0
2026-03-15 13:36:01.623372,2026-03-16 05:00:00,MY1,London,6h,0,Low,low,,,
2026-03-15 13:36:01.638272,2026-03-16 11:00:00,MY1,London,12h,0,Low,low,,,
2026-03-15 13:36:03.126041,2026-03-16 05:00:00,BIRR,Birmingham,6h,0,Low,low,,,
2026-03-15 13:36:03.137995,2026-03-16 11:00:00,BIRR,Birmingham,12h,0,Low,low,,,
2026-03-15 13:36:04.713333,2026-03-16 05:00:00,MAN3,Manchester,6h,0,Low,low,,,
2026-03-15 13:36:04.724513,2026-03-16 11:00:00,MAN3,Manchester,12h,0,Low,low,,,
2026-03-15 13:36:06.365783,2026-03-16 05:00:00,NEWC,Newcastle,6h,0,Low,low,,,
2026-03-15 13:36:06.378618,2026-03-16 11:00:00,NEWC,Newcastle,12h,0,Low,low,,,
2026-03-15 13:36:07.951031,2026-03-16 05:00:00,CARD,Cardiff,6h,0,Low,low,,,
2026-03-15 13:36:07.963361,2026-03-16 11:00:00,CARD,Cardiff,12h,0,Low,low,,,
2026-03-15 13:36:40.670619,2026-03-16 05:00:00,MY1,London,6h,0,Low,low,,,
2026-03-15 13:36:40.687785,2026-03-16 11:00:00,MY1,London,12h,0,Low,low,,,
2026-03-15 13:36:42.184735,2026-03-16 05:00:00,BIRR,Birmingham,6h,0,Low,low,,,
2026-03-15 13:36:42.196874,2026-03-16 11:00:00,BIRR,Birmingham,12h,0,Low,low,,,
2026-03-15 13:36:43.656628,2026-03-16 05:00:00,MAN3,Manchester,6h,0,Low,low,,,
2026-03-15 13:36:43.669437,2026-03-16 11:00:00,MAN3,Manchester,12h,0,Low,low,,,
2026-03-15 13:36:45.272730,2026-03-16 05:00:00,NEWC,Newcastle,6h,0,Low,low,,,
2026-03-15 13:36:45.286424,2026-03-16 11:00:00,NEWC,Newcastle,12h,0,Low,low,,,
2026-03-15 13:36:46.728309,2026-03-16 05:00:00,CARD,Cardiff,6h,0,Low,low,,,
2026-03-15 13:36:46.741904,2026-03-16 11:00:00,CARD,Cardiff,12h,0,Low,low,,,
