,0
city_code,2.0
hour,12.0
day_of_week,3.0
month,7.0
season,2.0
is_weekend,0.0
NO2_lag1h,23.20552
NO2_lag2h,23.20581
NO2_lag3h,23.20668
NO2_lag6h,23.20862
NO2_lag12h,23.21287
NO2_lag24h,23.22341
NO2_mean6h,23.99055
NO2_mean12h,24.61001333333333
NO2_mean24h,25.19718
NO2_max6h,32.49681
NO2_max12h,39.14311
PM2.5_lag1h,7.359
PM2.5_lag2h,7.359
PM2.5_lag3h,7.359
PM2.5_lag6h,7.359
PM2.5_lag12h,7.359
PM2.5_lag24h,7.382
PM2.5_mean6h,7.433333333333334
PM2.5_mean12h,7.492166666666667
PM2.5_mean24h,7.583333333333333
PM2.5_max6h,10.0
PM2.5_max12h,11.274
PM10_lag1h,13.025
PM10_lag2h,13.025
PM10_lag3h,13.025
PM10_lag6h,13.025
PM10_lag12h,13.025
PM10_lag24h,13.025
PM10_mean6h,13.043666666666663
PM10_mean12h,13.158333333333331
PM10_mean24h,13.395833333333334
PM10_max6h,17.392
PM10_max12h,20.475
O3_lag1h,42.05938
O3_lag2h,42.05938
O3_lag3h,42.05938
O3_lag6h,42.05938
O3_lag12h,42.00949
O3_lag24h,42.00949
O3_mean6h,41.72676333333333
O3_mean12h,41.6422225
O3_mean24h,41.73854125
O3_max6h,51.08992
O3_max12h,56.47831
SO2_lag1h,0.32949
SO2_lag2h,0.32949
SO2_lag3h,0.32949
SO2_lag6h,0.32949
SO2_lag12h,0.32949
SO2_lag24h,0.32949
SO2_mean6h,0.3695433333333335
SO2_mean12h,0.4065725000000001
SO2_mean24h,0.44918875
SO2_max6h,0.53323
SO2_max12h,0.68865
temp_lag1h,10.7
temp_lag2h,10.7
temp_lag3h,10.7
temp_lag6h,10.7
temp_lag12h,10.7
temp_lag24h,10.7
temp_mean6h,10.733333333333334
temp_mean12h,10.775
temp_mean24h,10.808333333333332
temp_max6h,11.9
temp_max12h,13.0
humidity_lag1h,84.0
humidity_lag2h,84.0
humidity_lag3h,84.0
humidity_lag6h,84.0
humidity_lag12h,84.0
humidity_lag24h,84.0
humidity_mean6h,83.33333333333333
humidity_mean12h,82.5
humidity_mean24h,81.375
humidity_max6h,89.0
humidity_max12h,92.0
wind_speed_lag1h,13.2
wind_speed_lag2h,13.2
wind_speed_lag3h,13.2
wind_speed_lag6h,13.2
wind_speed_lag12h,13.2
wind_speed_lag24h,13.2
wind_speed_mean6h,13.2
wind_speed_mean12h,13.258333333333336
wind_speed_mean24h,13.370833333333335
wind_speed_max6h,16.1
wind_speed_max12h,18.2
pressure_lag1h,1008.0
pressure_lag2h,1008.0
pressure_lag3h,1008.0
pressure_lag6h,1008.0
pressure_lag12h,1008.0
pressure_lag24h,1008.0
pressure_mean6h,1008.0166666666664
pressure_mean12h,1007.9833333333332
pressure_mean24h,1007.95
pressure_max6h,1008.8
pressure_max12h,1009.7
